,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
0,28925,Private room,124398,2010-05-13,,0.14,9.0,10.0,10.0,10.0,9.0,100.0,24.0,$23.00,33000,2
4,218103,Private room,1127981,2011-09-08,90%,0.29,9.0,8.0,10.0,10.0,10.0,93.0,100.0,,33130,25
13,408270,Private room,1127981,2011-09-08,90%,0.71,9.0,9.0,10.0,10.0,9.0,92.0,85.0,,33130,56
14,410267,Private room,1127981,2011-09-08,90%,0.33,9.0,9.0,10.0,10.0,10.0,93.0,85.0,$0.00,33130,26
15,412475,Private room,1127981,2011-09-08,90%,0.44,9.0,8.0,10.0,10.0,10.0,91.0,85.0,,33130,34
17,437127,Private room,2171100,2012-04-18,,3.44,9.0,9.0,10.0,10.0,10.0,95.0,45.0,,33000,267
18,438600,Private room,2171100,2012-04-18,,1.95,10.0,9.0,10.0,10.0,10.0,96.0,30.0,,33000,154
29,548827,Private room,675681,2011-06-07,,0.05,8.0,10.0,7.0,9.0,9.0,87.0,109.0,$0.00,33000,3
38,656926,Private room,3309367,2012-08-19,,0.25,9.0,10.0,10.0,10.0,10.0,95.0,50.0,$15.00,33800,4
43,709326,Private room,3649476,2012-09-23,100%,0.08,10.0,10.0,10.0,10.0,10.0,100.0,60.0,,33200,2
46,724856,Private room,3746923,2012-10-03,100%,1.03,9.0,9.0,10.0,10.0,9.0,93.0,45.0,$7.00,33000,71
51,767446,Private room,4047684,2012-11-03,100%,1.49,10.0,10.0,10.0,10.0,10.0,97.0,35.0,$0.00,33000,98
53,776808,Private room,4041434,2012-11-02,100%,0.08,8.0,10.0,10.0,10.0,10.0,90.0,80.0,$0.00,33000,2
54,777417,Private room,4041434,2012-11-02,100%,0.28,10.0,9.0,10.0,10.0,10.0,94.0,89.0,$0.00,33000,7
56,783449,Private room,4057188,2012-11-04,100%,5.69,9.0,9.0,9.0,9.0,9.0,88.0,49.0,$15.00,33000,412
57,792947,Private room,4178213,2012-11-18,100%,1.51,10.0,9.0,10.0,10.0,10.0,95.0,89.0,,33600,84
61,805226,Private room,4236484,2012-11-25,100%,0.32,9.0,10.0,10.0,10.0,10.0,94.0,42.0,,33000,23
64,807733,Private room,4250048,2012-11-26,100%,4.05,10.0,10.0,10.0,10.0,9.0,95.0,45.0,,33000,282
69,837713,Private room,1909665,2012-03-12,100%,0.32,9.0,9.0,10.0,9.0,9.0,96.0,27.0,$15.00,33560,21
77,863828,Private room,4245270,2012-11-26,100%,2.38,10.0,9.0,10.0,10.0,10.0,95.0,50.0,$25.00,33800,162
85,878032,Private room,4639813,2013-01-09,100%,0.02,8.0,10.0,10.0,8.0,10.0,80.0,75.0,,33600,1
88,880178,Private room,4561878,2013-01-02,100%,0.16,10.0,9.0,10.0,10.0,10.0,95.0,80.0,$30.00,33170,11
93,888556,Private room,992322,2011-08-19,80%,0.03,10.0,10.0,10.0,10.0,10.0,100.0,60.0,$0.00,33200,2
100,921237,Private room,4951342,2013-02-03,100%,0.18,9.0,9.0,10.0,10.0,9.0,89.0,38.0,,33400,9
101,939481,Private room,2468244,2012-05-26,100%,2.42,9.0,9.0,10.0,10.0,9.0,89.0,40.0,,33800,168
105,953240,Private room,675681,2011-06-07,,0.09,9.0,10.0,10.0,10.0,9.0,93.0,109.0,$0.00,33000,6
106,956104,Private room,5195865,2013-02-23,100%,0.33,10.0,9.0,10.0,10.0,10.0,96.0,58.0,,33290,21
107,956277,Private room,992322,2011-08-19,80%,0.11,8.0,10.0,10.0,10.0,10.0,100.0,60.0,$0.00,33200,7
108,956360,Private room,4241301,2012-11-25,,0.02,10.0,10.0,10.0,10.0,10.0,97.0,55.0,$20.00,33320,1
114,981420,Private room,2658645,2012-06-17,90%,1.0,10.0,10.0,10.0,10.0,8.0,100.0,45.0,$0.00,33000,1
117,1000233,Private room,5499035,2013-03-17,100%,0.05,9.0,9.0,10.0,9.0,10.0,90.0,70.0,$0.00,33600,2
119,1005723,Private room,5531179,2013-03-19,100%,0.62,9.0,9.0,9.0,9.0,9.0,89.0,45.0,$10.00,33000,42
122,1025361,Private room,5113450,2013-02-17,100%,1.88,10.0,9.0,10.0,10.0,10.0,96.0,30.0,$0.00,33700,73
136,1131701,Private room,6208425,2013-05-03,,0.03,10.0,8.0,10.0,10.0,10.0,97.0,110.0,,33000,2
138,1152740,Private room,6288665,2013-05-08,,0.57,10.0,10.0,10.0,10.0,10.0,99.0,45.0,,33100,29
140,1161946,Private room,6364913,2013-05-13,100%,0.32,9.0,9.0,10.0,10.0,9.0,89.0,28.0,$0.00,33310,21
146,1195833,Private room,5531179,2013-03-19,100%,0.11,9.0,9.0,10.0,10.0,10.0,90.0,45.0,,33000,2
152,1215096,Private room,6632301,2013-05-29,100%,0.05,7.0,7.0,7.0,7.0,6.0,67.0,19.0,,33700,3
153,1221634,Private room,5531179,2013-03-19,100%,0.61,10.0,10.0,10.0,10.0,10.0,97.0,65.0,$20.00,33000,34
161,1255350,Private room,6838157,2013-06-10,,1.17,10.0,10.0,10.0,10.0,10.0,97.0,45.0,$15.00,33000,77
162,1258486,Private room,6854230,2013-06-11,,1.96,10.0,9.0,10.0,10.0,10.0,97.0,40.0,,33400,129
171,1282101,Private room,6838157,2013-06-10,,1.04,9.0,9.0,10.0,10.0,10.0,97.0,45.0,$15.00,33000,68
174,1308250,Private room,7107427,2013-06-25,100%,0.8,10.0,9.0,10.0,10.0,10.0,94.0,21.0,$7.00,33310,51
178,1330588,Private room,7107427,2013-06-25,100%,1.1,10.0,9.0,10.0,10.0,10.0,95.0,20.0,$5.00,33310,72
182,1353746,Private room,1882891,2012-03-08,100%,0.38,9.0,9.0,10.0,10.0,9.0,92.0,35.0,,33800,24
183,1353927,Private room,7348650,2013-07-08,0%,0.07,8.0,10.0,10.0,10.0,10.0,80.0,45.0,,33000,1
184,1355270,Private room,7355346,2013-07-08,100%,0.04,9.0,7.0,9.0,9.0,7.0,80.0,50.0,,33300,2
189,1372795,Private room,7442737,2013-07-12,,0.05,8.0,8.0,10.0,10.0,10.0,95.0,95.0,,33100,3
194,1385160,Private room,7442737,2013-07-12,,0.18,10.0,10.0,10.0,10.0,10.0,100.0,85.0,,33100,1
198,1419391,Private room,7643775,2013-07-22,100%,0.15,9.0,9.0,10.0,10.0,9.0,93.0,80.0,,33700,9
201,1443453,Private room,7750472,2013-07-27,90%,1.07,10.0,9.0,10.0,10.0,10.0,94.0,27.0,$7.00,33700,68
202,1454611,Private room,4751437,2013-01-18,,0.03,9.0,7.0,10.0,9.0,9.0,90.0,50.0,$15.00,33800,2
205,1530086,Private room,8161482,2013-08-14,,0.34,10.0,9.0,10.0,10.0,9.0,91.0,50.0,$10.00,33160,18
213,1612990,Private room,8586420,2013-09-02,100%,0.91,10.0,9.0,10.0,10.0,10.0,97.0,68.0,$10.00,33000,48
216,1672218,Private room,8852292,2013-09-15,,1.05,10.0,10.0,10.0,10.0,10.0,98.0,50.0,,33800,57
219,1699336,Private room,8973463,2013-09-21,100%,0.32,10.0,10.0,10.0,10.0,10.0,98.0,39.0,,33000,16
228,1842045,Private room,6854230,2013-06-11,,1.71,10.0,10.0,10.0,10.0,10.0,97.0,42.0,,33400,47
230,1857931,Private room,7442737,2013-07-12,,0.31,8.0,10.0,10.0,10.0,10.0,100.0,90.0,,33100,1
246,2065825,Private room,10053712,2013-11-16,100%,1.13,10.0,10.0,10.0,10.0,10.0,95.0,40.0,,33300,65
251,2129423,Private room,10864157,2013-12-28,100%,0.16,9.0,10.0,10.0,10.0,9.0,97.0,32.0,$15.00,33000,6
256,2151787,Private room,10943571,2014-01-01,100%,0.41,10.0,9.0,10.0,10.0,10.0,98.0,48.0,$15.00,33000,23
259,2157691,Private room,4178213,2012-11-18,100%,2.56,10.0,9.0,10.0,10.0,10.0,96.0,89.0,,33600,141
267,2231377,Private room,9477089,2013-10-17,100%,2.17,9.0,9.0,10.0,10.0,10.0,96.0,50.0,$8.00,33000,67
273,2315195,Private room,8918350,2013-09-18,100%,0.03,10.0,10.0,10.0,10.0,10.0,100.0,50.0,,33520,1
284,2384060,Private room,7896753,2013-08-02,100%,2.35,10.0,9.0,10.0,10.0,10.0,97.0,40.0,$0.00,33800,132
285,2394989,Private room,3357537,2012-08-24,100%,0.56,10.0,9.0,10.0,10.0,9.0,93.0,19.0,,33000,29
286,2402008,Private room,9116145,2013-09-29,100%,3.8,10.0,10.0,10.0,10.0,9.0,94.0,25.0,$5.00,33100,194
287,2404231,Private room,9400972,2013-10-13,100%,0.38,10.0,9.0,10.0,10.0,10.0,99.0,33.0,$5.00,33520,21
288,2406128,Private room,9400972,2013-10-13,100%,0.38,10.0,9.0,10.0,10.0,10.0,97.0,30.0,$5.00,33520,22
304,2545132,Private room,1842076,2012-03-02,90%,3.75,10.0,10.0,10.0,10.0,10.0,97.0,35.0,$5.00,33000,155
309,2595648,Private room,8495128,2013-08-28,,3.66,10.0,9.0,10.0,10.0,10.0,97.0,36.0,,33800,207
317,2662281,Private room,13627663,2014-03-28,90%,0.61,9.0,9.0,10.0,10.0,9.0,98.0,70.0,,33700,11
319,2679324,Private room,5197927,2013-02-23,100%,1.49,10.0,9.0,10.0,10.0,10.0,95.0,28.0,$10.00,33300,76
323,2731456,Private room,4492190,2012-12-26,,0.79,10.0,10.0,10.0,10.0,10.0,97.0,50.0,$5.00,33000,32
326,2750593,Private room,8495128,2013-08-28,,1.26,10.0,9.0,10.0,10.0,9.0,94.0,34.0,,33800,69
333,2791391,Private room,14276295,2014-04-14,100%,0.04,6.0,10.0,10.0,10.0,6.0,80.0,40.0,$5.00,33700,1
337,2833908,Private room,14497051,2014-04-20,100%,1.47,10.0,10.0,10.0,10.0,10.0,97.0,45.0,,33700,68
357,2922867,Private room,3649476,2012-09-23,100%,0.12,9.0,9.0,9.0,10.0,10.0,87.0,50.0,,33200,3
364,2949170,Private room,11905962,2014-02-03,100%,0.62,9.0,8.0,9.0,10.0,10.0,90.0,25.0,,33400,33
366,2953947,Private room,15079448,2014-05-04,100%,0.22,10.0,10.0,10.0,10.0,10.0,98.0,50.0,,33400,11
376,2977855,Private room,15188630,2014-05-06,60%,1.07,9.0,8.0,10.0,9.0,10.0,89.0,23.0,$0.00,33800,59
379,2992161,Private room,6275823,2013-05-07,,0.29,10.0,9.0,10.0,10.0,10.0,94.0,35.0,,33700,16
383,3007446,Private room,15327489,2014-05-10,100%,0.09,9.0,9.0,10.0,10.0,8.0,96.0,22.0,$25.00,33700,5
395,3078265,Private room,15665751,2014-05-18,,0.05,10.0,10.0,10.0,10.0,10.0,100.0,40.0,,33520,2
